time_s	chan_0	chan_1	chan_2
6269	501.760961304628	469.538945712038	32.2220155925899
6269.5	501.70803232959	469.475144839425	32.2328874901652
6270	501.513482583506	469.290894785781	32.2225877977255
6270.5	501.628209713182	469.397611043559	32.2305986696231
6271	501.721193047708	469.498605249982	32.2225877977255
6271.5	501.719762534869	469.491738788356	32.2280237465131
6272	501.668836277806	469.439095915886	32.2297403619197
6272.5	501.670552893212	469.44624848008	32.2243044131321
6273	501.835347972248	469.597310635863	32.2380373363851
6273.5	501.736070381232	469.50661612188	32.229454259352
6274	501.848794792933	469.617623918175	32.2311708747586
6274.5	501.668550175238	469.439954223589	32.2285959516487
6275	501.758386381518	469.531507045276	32.226879336242
6275.5	501.642800944138	469.414777197625	32.2280237465131
6276	501.760389099492	469.532651455547	32.2277376439454
6276.5	501.600171661541	469.372720120163	32.2274515413776
6277	501.63622058508	469.408196838567	32.2280237465131
6277.5	501.879693870252	469.649667405765	32.2300264644875
6278	501.726342893927	469.497174737143	32.2291681567842
6278.5	501.669980688077	469.450540018597	32.21944066948
6279	501.667119662399	469.450540018597	32.2165796438023
6279.5	501.74265074029	469.514626993777	32.2280237465131
6280	501.50919104499	469.294328016594	32.2148630283957
6280.5	501.617051713039	469.399327658966	32.2177240540734
6281	501.580716686932	469.355840068665	32.2248766182677
6281.5	501.811029253988	469.580430584364	32.2305986696231
6282	501.649953508333	469.417352120735	32.2326013875975
6282.5	501.640512123596	469.410771761677	32.2297403619197
6283	501.54123453258	469.31921893999	32.2220155925899
6283.5	501.734639868393	469.502324583363	32.2323152850297
6284	501.679994277949	469.450826121164	32.2291681567842
6284.5	501.843358844146	469.612760174523	32.2305986696231
6285	501.741220227452	469.5117659681	32.229454259352
6285.5	501.602746584651	469.373578427866	32.2291681567842
6286	501.677705457406	469.449395608326	32.2283098490809
6286.5	501.582147199771	469.348973607038	32.233173592733
6287	501.672269508619	469.447392890351	32.2248766182677
6287.5	501.567269866247	469.340676632573	32.2265932336743
6288	501.539231814606	469.308060939847	32.2311708747586
6288.5	501.658536585366	469.433659967098	32.2248766182677
6289	501.748658894214	469.514913096345	32.2337457978685
6289.5	501.574136327874	469.349831914741	32.2243044131321
6290	501.729203919605	469.500894070524	32.2283098490809
6290.5	501.690866175524	469.455975967384	32.2348902081396
6291	501.47829196767	469.253129246835	32.2251627208354
6291.5	501.72090694514	469.489736070381	32.2311708747586
6292	501.663400329018	469.429082326014	32.2343180030041
6292.5	501.645661969816	469.420785351549	32.2248766182677
6293	501.68628853444	469.447106787783	32.2391817466562
6293.5	501.655103354553	469.427651813175	32.2274515413776
6294	501.742364637723	469.513196480938	32.2291681567842
6294.5	501.811601459123	469.57070309706	32.2408983620628
6295	501.499749660253	469.273728631714	32.2260210285387
6295.5	501.730348329876	469.492024890923	32.2383234389529
6296	501.536942994063	469.31149417066	32.2254488234032
6296.5	501.771547099635	469.538373506902	32.233173592733
6297	501.641084328732	469.40905514627	32.2320291824619
6297.5	501.841642228739	469.59902725127	32.2426149774694
6298	501.666833559831	469.438809813318	32.2280237465131
6298.5	501.823617766969	469.58357771261	32.2400400543595
6299	501.571561404764	469.34868750447	32.2228739002933
6299.5	501.594449610185	469.360131607181	32.2343180030041
6300	501.778985766397	469.538087404334	32.2408983620628
6300.5	501.794721407625	469.564408840569	32.2303125670553
6301	501.67341391889	469.433087761963	32.2403261569273
6301.5	501.721765252843	469.491452685788	32.2303125670553
6302	501.647664687791	469.417638223303	32.2300264644875
6302.5	501.862241613618	469.623059866962	32.2391817466562
6303	501.772405407339	469.540662327444	32.2317430798941
6303.5	501.639367713325	469.410771761677	32.2285959516487
6304	501.500321865389	469.26915099063	32.2311708747586
6304.5	501.522637865675	469.295758529433	32.226879336242
6305	501.503755096202	469.27687575996	32.226879336242
6305.5	501.494599814033	469.259137400758	32.2354624132752
6306	501.676561047135	469.442243044131	32.2343180030041
6306.5	501.454831557113	469.223946784922	32.2308847721908
6307	501.48859166011	469.26400114441	32.2245905156999
6307.5	501.452542736571	469.230527143981	32.2220155925899
6308	501.668836277806	469.429654531149	32.2391817466562
6308.5	501.686574637007	469.453114941707	32.2334596953008
6309	501.577283456119	469.334382376082	32.2429010800372
6309.5	501.648522995494	469.402188684643	32.2463343108504
6310	501.594735712753	469.358414991775	32.2363207209785
6310.5	501.652242328875	469.407624633431	32.2446176954438
6311	501.746942278807	469.506043916744	32.2408983620628
6311.5	501.594449610185	469.359273299478	32.2351763107074
6312	501.68628853444	469.439954223589	32.2463343108504
6312.5	501.87225520349	469.626493097776	32.2457621057149
6313	501.926042486231	469.678277662542	32.2477648236893
6313.5	501.771260997067	469.523496173378	32.2477648236893
6314	501.620484943852	469.389027966526	32.2314569773264
6314.5	501.929475717045	469.67856376511	32.2509119519348
6315	501.682855303626	469.446820685216	32.2360346184107
6315.5	501.603604892354	469.368714684214	32.2348902081396
6316	501.67083899578	469.426507402904	32.244331592876
6316.5	501.777841356126	469.534654173521	32.243187182605
6317	501.760961304628	469.520062942565	32.2408983620628
6317.5	501.863672126457	469.615048995065	32.2486231313926
6318	501.707460124455	469.467706172663	32.2397539517917
6318.5	501.707746227022	469.467420070095	32.2403261569273
6319	501.744653458265	469.499177455118	32.2454760031471
6319.5	501.677419354839	469.436234890208	32.2411844646306
6320	501.784707817753	469.530076532437	32.2546312853158
6320.5	501.79786853587	469.5463843788	32.2514841570703
6321	501.747514483942	469.508618839854	32.2388956440884
6321.5	501.569558686789	469.330663042701	32.2388956440884
6322	501.648522995494	469.406194120592	32.2423288749017
6322.5	501.629640226021	469.394463915314	32.2351763107074
6323	501.865960947	469.622201559259	32.2437593877405
6323.5	501.661111508476	469.415063300193	32.2460482082827
6324	501.635362277376	469.39618053072	32.2391817466562
6324.5	501.750661612188	469.508618839854	32.2420427723339
6325	501.771260997067	469.514913096345	32.2563479007224
6325.5	501.778985766397	469.527215506759	32.2517702596381
6326	501.700021457693	469.44109863386	32.2589228238323
6326.5	501.828195408054	469.567842071383	32.2603533366712
6327	501.823617766969	469.568986481654	32.2546312853158
6327.5	501.76325012517	469.509477147557	32.2537729776125
6328	501.815320792504	469.55410914813	32.2612116443745
6328.5	501.794721407625	469.545812173664	32.2489092339604
6329	501.969530076532	469.711179457836	32.2583506186968
6329.5	501.497174737143	469.252270939132	32.2449037980116
6330	501.716615406623	469.469708890637	32.246906515986
6330.5	501.566411558544	469.3217938631	32.2446176954438
6331	501.577855661255	469.334382376082	32.2434732851727
6331.5	501.672555611187	469.430226736285	32.2423288749017
6332	501.831628638867	469.576139045848	32.2554895930191
6332.5	501.815606895072	469.563836635434	32.2517702596381
6333	501.772119304771	469.524926686217	32.2471926185538
6333.5	501.801873971819	469.542378942851	32.2594950289679
6334	501.833059151706	469.572991917602	32.2600672341034
6334.5	501.890565767828	469.628781918318	32.2617838495101
6335	501.635648379944	469.380158786925	32.2554895930191
6335.5	501.651956226307	469.399327658966	32.2526285673414
6336	501.820756741292	469.56297832773	32.2577784135613
6336.5	501.680852585652	469.427651813175	32.2532007724769
6337	501.750661612188	469.50146627566	32.2491953365281
6337.5	501.867391459838	469.61304627709	32.254345182748
